structure_wikidata,smiles,cas
http://www.wikidata.org/entity/Q185906,C(C(C(=O)O)N)C(=O)N,3130-87-8
http://www.wikidata.org/entity/Q369777,CCCCCCCCC(=O)O,112-05-0
http://www.wikidata.org/entity/Q410465,C1=CN=CC=C1C(=O)O,55-22-1
http://www.wikidata.org/entity/Q23993898,COP(=O)(O)O,812-00-0
http://www.wikidata.org/entity/Q63390527,CC(C)(CO)[C@H](C(=O)NCCC(=O)O)O,79-83-4
http://www.wikidata.org/entity/Q191700,C1=CC=C(C=C1)C(=O)O,65-85-0
http://www.wikidata.org/entity/Q155753,CC1=C(C=C2CC[C@@](OC2=C1C)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O,54-28-4
http://www.wikidata.org/entity/Q212774,C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,31178-70-8
http://www.wikidata.org/entity/Q5572563,CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O,123-94-4
http://www.wikidata.org/entity/Q410190,C(CCN)CN,110-60-1
http://www.wikidata.org/entity/Q422627,CCCCCCCCCCCC(=O)O,143-07-7
http://www.wikidata.org/entity/Q27078076,[C@]1([C@@]([C@]([C@@]([C@]([C@]1(O)[H])(O)[H])(OP(O)(O)=O)[H])(O)[H])(O)[H])(O)[H],46495-39-0
http://www.wikidata.org/entity/Q27128300,CCCC(C(=O)O)O,617-31-2
http://www.wikidata.org/entity/Q27145323,OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)CO,23470-00-0
http://www.wikidata.org/entity/Q27887716,CCCCCCCCCCCCCCCC(=O)OCC(CO)O,542-44-9
http://www.wikidata.org/entity/Q76294376,C[C@H](/C=C/CC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,34347-28-9
http://www.wikidata.org/entity/Q2700587,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,474-67-9
http://www.wikidata.org/entity/Q27109255,C[C@H](CC[C@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,4651-51-8
http://www.wikidata.org/entity/Q76422902,C/C=C(/CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C)\C(C)C,23290-26-8
http://www.wikidata.org/entity/Q49546,CC(=O)C,67-64-1
http://www.wikidata.org/entity/Q407669,COC(=O)C1=CC=CC=C1O,119-36-8
http://www.wikidata.org/entity/Q76933,CCCCCCO,111-27-3
http://www.wikidata.org/entity/Q420698,CCCCCC=O,66-25-1
http://www.wikidata.org/entity/Q61457,CC=O,75-07-0
http://www.wikidata.org/entity/Q150694,CCCCCCCCC,111-84-2
http://www.wikidata.org/entity/Q150717,CCCCCCCCCC,124-18-5
http://www.wikidata.org/entity/Q421614,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,87-44-5
http://www.wikidata.org/entity/Q419814,CC(=CCC/C(=C/C/C=C(\C)/C=C)/C)C,502-61-4
http://www.wikidata.org/entity/Q27132237,CC(=C)[C@@H]1CC[C@@]([C@@H](C1)C(=C)C)(C)C=C,515-13-9
http://www.wikidata.org/entity/Q74417605,C1=C(C)CCC2=C(C)CCC(C12)C(C)C,16729-01-4
http://www.wikidata.org/entity/Q27121450,C/C/1=C\CCC(=C)/C=C/[C@@H](CC1)C(C)C,23986-74-5
http://www.wikidata.org/entity/Q104667257,C=C1CC[C@@H]2[C@H]1[C@H]1[C@H](C(C)C)CC[C@@]21C,5208-59-3
http://www.wikidata.org/entity/Q415421,CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C,40716-66-3
http://www.wikidata.org/entity/Q27132146,CC1=CCC2CC1C2(C)CCC=C(C)C,17699-05-7
http://www.wikidata.org/entity/Q150744,CCCCCCCCCCCC,112-40-3
http://www.wikidata.org/entity/Q14745306,CCCCCCCCCC=C,821-95-4
http://www.wikidata.org/entity/Q82914660,C1=C2CCC3C(C2(C)C(C)CC1)C3(C)C,17334-55-3
http://www.wikidata.org/entity/Q1995108,C/C/1=C\CC(/C=C/C/C(=C/CC1)/C)(C)C,6753-98-6
http://www.wikidata.org/entity/Q150731,CCCCCCCCCCC,1120-21-4
http://www.wikidata.org/entity/Q27108605,C[C@@H]1CC[C@H]([C@H]2[C@]13[C@@H]2C(=CC3)C)C(C)C,17699-14-8
http://www.wikidata.org/entity/Q27108640,CC(=C)[C@@H]1CC[C@]2(CCCC(=C)[C@@H]2C1)C,17066-67-0
http://www.wikidata.org/entity/Q104199578,C1=C(C)C2C3C(CCC2(C)C3C1)C(C)C,138874-68-7
http://www.wikidata.org/entity/Q113820,CCCCCCCO,111-70-6
http://www.wikidata.org/entity/Q209381,CCOCCO,110-80-5
http://www.wikidata.org/entity/Q223112,CCC(=O)CC,96-22-0
http://www.wikidata.org/entity/Q410836,CC(=CCC/C(=C/CO)/C)C,106-24-1
http://www.wikidata.org/entity/Q416065,C1CCC(=O)C1,120-92-3
http://www.wikidata.org/entity/Q418672,CCCCCCOC(=O)C,142-92-7
http://www.wikidata.org/entity/Q20968579,O=C(CC)CC(C)CC,541-85-5
http://www.wikidata.org/entity/Q27093997,CCCCC[C@@H](C=C)O,24587-53-9
http://www.wikidata.org/entity/Q27157606,CCCCCCC(CCCC)CO,3913-02-8
http://www.wikidata.org/entity/Q27162126,CCC(C=C)O,616-25-1
http://www.wikidata.org/entity/Q27271229,CC1=NCCS1,2346-00-1
http://www.wikidata.org/entity/Q27271710,CC1OCCO1,497-26-7
http://www.wikidata.org/entity/Q64774214,CC=CC(=O)C,625-33-2
http://www.wikidata.org/entity/Q104386482,CCCCC1CO1,1436-34-6
http://www.wikidata.org/entity/Q1925579,COCCOCCO,111-77-3
http://www.wikidata.org/entity/Q288806,CCCC1=CC=CC=C1,103-65-1
http://www.wikidata.org/entity/Q419349,C1CC=COC1,110-87-2
http://www.wikidata.org/entity/Q425827,CCCCCCC=O,111-71-7
http://www.wikidata.org/entity/Q27155883,C/C=C/C=C/C=O,142-83-6
http://www.wikidata.org/entity/Q16081199,CCCCC1=CC=CC=C1,104-51-8
http://www.wikidata.org/entity/Q20968563,CC1CCCCC1=O,583-60-8
http://www.wikidata.org/entity/Q27124011,CC1=C(C(CCC1)(C)C)C=O,432-25-7
http://www.wikidata.org/entity/Q27260256,CCCC/C=C/C=O,18829-55-5
http://www.wikidata.org/entity/Q72489756,COC1OCCO1,19693-75-5
http://www.wikidata.org/entity/Q161662,CCCCCCCCCO,143-08-8
http://www.wikidata.org/entity/Q412403,COC1=CC=CC=C1O,90-05-1
http://www.wikidata.org/entity/Q17989420,CCC1=CC=CO1,3208-16-0
http://www.wikidata.org/entity/Q18611679,CCCCCCC(=O)C,111-13-7
http://www.wikidata.org/entity/Q903362,COCCO,109-86-4
http://www.wikidata.org/entity/Q2456972,OC1CCCCC1C,583-59-5
http://www.wikidata.org/entity/Q27251197,CC1=CC(=CC=C1)C(C)C,535-77-3
http://www.wikidata.org/entity/Q415359,CC(=CCC/C(=C\CO)/C)C,106-25-2
http://www.wikidata.org/entity/Q415979,CC1COC(=O)O1,108-32-7
http://www.wikidata.org/entity/Q2092736,C1CC2=CC=CC=C2C=C1,447-53-0
http://www.wikidata.org/entity/Q27281647,C1CCOC(C1)CO,100-72-1
http://www.wikidata.org/entity/Q27114873,CC1=C(C(CCC1)(C)C)/C=C/C(=O)C,79-77-6
http://www.wikidata.org/entity/Q17193142,CC(C)CC1=NC=CS1,18640-74-9
http://www.wikidata.org/entity/Q27161912,CC1=CC2=CC=CC=C2O1,4265-25-2
http://www.wikidata.org/entity/Q27280168,CC(C)[C@]1(O)CCC(C)=CC1,2438-10-0
http://www.wikidata.org/entity/Q81986284,OCC=CCC,20273-24-9
http://www.wikidata.org/entity/Q2152381,CC(C)CCC(=O)C,110-12-3
http://www.wikidata.org/entity/Q284072,Cc1ccc(C(C)C)cc1,99-87-6
http://www.wikidata.org/entity/Q27105200,CC(=CCC[C@](C)(C=C)O)C,126-91-0
http://www.wikidata.org/entity/Q27117905,CC1=CC(=C(C(=C1)O)C)C,697-82-5
http://www.wikidata.org/entity/Q3209146,CC(=O)CC/C=C(\C)/C,110-93-0
http://www.wikidata.org/entity/Q22830264,CC1=CC=C(O1)C=O,620-02-0
