smiles,EC50_drer,EC50_dmag,EC50_rsub,EC50_scos
C(=O)(C(C(F)(F)F)(F)F)O,,0,,
C(=O)(C(Cl)(Cl)Cl)O,,0,0,
C(=O)C(Cl)(Cl)Cl,,0,,
C(=O)O,,0,,
C(C(=O)O)(F)F,,0,0,
C(C(=O)O)C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,1,1,
C(C(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,0,0,
C(C(=O)O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,,0,,
C(C(=O)O)Cl,,0,1,
C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F,,0,1,1
C(C(C(C(C(F)F)(F)F)(F)F)(F)F)O,,0,,
C(C(CBr)Br)O,,0,,
C(C(CCl)Cl)Cl,,0,0,
C(C(CO)(CO)CO)O,,0,,
C(C(CO)(CO)[N+](=O)[O-])O,,0,,
C(C(CO)([N+](=O)[O-])Br)O,,1,1,1
C(C(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-],,0,,
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],,0,1,
C(C(Cl)(Cl)Cl)O,,0,,
C(C(Cl)Cl)(Cl)Cl,,0,0,1
C(C(Cl)Cl)Cl,,0,0,
C(C(F)(Cl)Cl)(F)(F)Cl,,1,0,
C(C=CCl)Cl,,1,1,1
C(CC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(=O)O,,1,0,
C(CC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)C(=O)O,,0,0,
C(CCl)Cl,,0,0,0
C(CCl)P(=O)(O)O,,0,,
C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,,0,1,
C(CO)CO,,0,,
C(COCCOCCO)O,,0,,
C(CS(=O)(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,0,0,
C(SC#N)SC#N,,1,,
